FocalAOU,Focal,Median_Occ,Variance_Occ,Min_Occ,Max_Occ
2881,Gray Partridge,0.133333333,0.042302714,0.066666667,0.933333333
2890,Northern Bobwhite,0.866666667,0.125687885,0.066666667,1
2940,California Quail,0.866666667,0.128736926,0.066666667,1
3000,Ruffed Grouse,0.133333333,0.028188944,0.066666667,0.933333333
3120,Band-tailed Pigeon,0.466666667,0.137849329,0.066666667,1
3160,Mourning Dove,1,0.026020598,0.066666667,1
3190,White-winged Dove,0.533333333,0.142227375,0.066666667,1
3200,Common Ground-Dove,0.533333333,0.110311899,0.066666667,1
3870,Yellow-billed Cuckoo,0.666666667,0.118089681,0.066666667,1
3880,Black-billed Cuckoo,0.266666667,0.046954956,0.066666667,0.933333333
3930,Hairy Woodpecker,0.333333333,0.077864224,0.066666667,1
3940,Downy Woodpecker,0.733333333,0.098378171,0.066666667,1
3960,Ladder-backed Woodpecker,0.666666667,0.100544427,0.066666667,1
4020,Yellow-bellied Sapsucker,0.8,0.101599729,0.066666667,1
4021,Red-naped Sapsucker,0.6,0.088306137,0.066666667,1
4060,Red-headed Woodpecker,0.466666667,0.098884671,0.066666667,1
4090,Red-bellied Woodpecker,1,0.075029106,0.066666667,1
4120,Northern Flicker,0.8,0.074614247,0.066666667,1
4290,Black-chinned Hummingbird,0.333333333,0.075197603,0.066666667,1
4320,Broad-tailed Hummingbird,0.666666667,0.165835066,0.066666667,1
4330,Rufous Hummingbird,0.533333333,0.123929622,0.066666667,1
4430,Scissor-tailed Flycatcher,0.933333333,0.099571439,0.066666667,1
4440,Eastern Kingbird,0.866666667,0.091028623,0.066666667,1
4470,Western Kingbird,0.8,0.125880926,0.066666667,1
4480,Cassin's Kingbird,0.733333333,0.141138631,0.066666667,1
4520,Great Crested Flycatcher,0.933333333,0.062324975,0.066666667,1
4540,Ash-throated Flycatcher,1,0.07781521,0.066666667,1
4560,Eastern Phoebe,0.933333333,0.070208796,0.066666667,1
4570,Say's Phoebe,0.533333333,0.103246552,0.066666667,1
4590,Olive-sided Flycatcher,0.333333333,0.126902415,0.066666667,1
4610,Eastern Wood-Pewee,0.933333333,0.077324911,0.066666667,1
4620,Western Wood-Pewee,0.8,0.124666469,0.066666667,1
4640,Cordilleran Flycatcher,0.533333333,0.112382525,0.066666667,1
4641,Pacific-slope Flycatcher,0.9,0.13026178,0.066666667,1
4650,Acadian Flycatcher,0.733333333,0.118622913,0.066666667,1
4660,Willow Flycatcher,0.533333333,0.122512005,0.066666667,1
4670,Least Flycatcher,0.733333333,0.131606053,0.066666667,1
4680,Hammond's Flycatcher,0.8,0.132050794,0.066666667,1
4690,Dusky Flycatcher,0.8,0.134934579,0.066666667,1
4691,Gray Flycatcher,0.666666667,0.13163958,0.066666667,1
4750,Black-billed Magpie,0.866666667,0.128933777,0.066666667,1
4770,Blue Jay,1,0.034727076,0.066666667,1
4780,Steller's Jay,0.866666667,0.100490983,0.066666667,1
4812,Western Scrub-Jay,1,0.097898927,0.066666667,1
4840,Gray Jay,0.333333333,0.11307266,0.066666667,1
4880,American Crow,1,0.053176932,0.066666667,1
